"Dân số trung bình phân theo địa phương, giới tính và thành thị nông thôn (*) by Tỉnh, thành phố, Dân số trung bình and Năm"

" ";"Tổng số";" ";" ";"Nam";" ";" ";"Nữ";" ";" ";"Thành thị";" ";" ";"Nông thôn";" ";" "
" ";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019"
"Sóc Trăng";1218.3;1208.8;1199.5;606.9;602.4;597.9;611.4;606.5;601.6;382.5;385.5;388.5;835.8;823.3;811.0
"Bạc Liêu";897.7;903.0;908.2;449.0;451.7;454.6;448.8;451.2;453.7;246.7;249.5;252.3;651.0;653.5;656.0
"Cà Mau";1197.0;1195.6;1194.3;605.3;605.1;604.9;591.6;590.4;589.4;268.8;270.3;271.7;928.2;925.3;922.6

"Ghi chú: Giai đoạn 1995 - 2003, số liệu của tỉnh Lai Châu bao "
"gồm cả tỉnh Ðiện Biên, tỉnh Ðắk Lắk bao gồm cả tỉnh Ðắk Nông, "
"thành phố Cần Thơ gồm cả tỉnh Hậu Giang. Từ năm 2008 tới nay, "
"số liệu thành phố Hà Nội bao gồm cả tỉnh Hà Tây.(*) Dân số trung "
"bình điều chỉnh theo kết quả Tổng điều tra dân số và nhà ở 01/4/2019."

