Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
224,6.5,8.0,7.2,8.3,9.2,7.8,8.5,8.7,8.3,8.8,7.9,7,8.0,8.1,2,K
225,6.0,6.8,5.9,8.1,8.4,7.7,7.9,8.0,6.5,7.5,8.1,7,8.3,7.4,0,K
226,7.8,7.7,6.2,7.9,8.4,8.1,9.1,8.9,8.6,8.5,8.2,7,8.4,8.2,0,K
227,7.8,8.1,7.3,7.8,8.1,7.5,9.4,7.7,8.0,8.3,8.0,7,8.1,8.0,0,K
228,4.1,6.7,5.5,7.8,8.4,7.3,8.3,7.8,6.7,7.9,6.9,7,8.4,7.2,4,TB
229,5.9,6.8,5.1,7.5,8.4,7.0,9.0,7.7,7.8,7.5,9.0,7,8.2,7.5,0,K
230,6.0,5.4,5.0,7.0,8.1,7.5,7.7,7.5,5.7,7.7,7.0,7,7.8,6.9,0,K
231,6.4,7.5,5.8,8.5,9.0,8.0,8.5,8.2,8.4,8.5,8.9,7,7.8,8.0,0,K
232,9.2,9.1,8.1,9.0,9.2,8.4,9.6,8.6,8.1,8.7,9.6,7,8.3,8.8,0,G
233,8.8,8.4,7.4,8.9,8.4,8.0,8.5,7.9,8.3,8.6,8.5,7,8.0,8.3,0,G
234,9.1,8.1,8.0,9.4,8.2,7.9,9.0,8.3,8.2,8.4,8.3,7,8.0,8.4,0,G
235,9.1,8.4,7.3,9.0,8.3,7.9,9.2,8.4,8.0,8.3,8.1,7,8.2,8.4,0,G
236,9.0,9.1,8.1,9.4,9.2,8.0,9.4,9.1,7.9,8.9,9.0,7,8.5,8.8,0,G
237,7.2,6.9,7.5,8.8,7.6,7.3,8.9,6.5,7.1,7.6,8.4,7,8.0,7.7,0,K
238,9.9,9.4,9.8,9.4,9.2,8.2,9.4,9.1,8.9,8.6,9.6,7,8.2,9.1,0,G
239,9.6,8.2,8.9,9.4,9.2,8.2,9.1,8.9,7.8,8.9,8.9,7,8.0,8.8,0,G
240,8.5,9.0,7.5,8.8,8.8,8.4,9.7,8.8,7.9,8.5,8.9,7,8.4,8.6,0,G
241,8.7,8.5,6.5,9.2,9.4,8.4,9.4,8.5,8.4,8.6,8.7,7,8.1,8.5,0,G
242,8.8,9.1,8.0,8.5,8.7,8.1,9.8,8.1,8.3,8.6,8.8,7,8.3,8.6,0,G
243,8.9,9.3,8.0,8.6,8.1,7.8,9.0,8.2,8.3,7.8,8.8,7,8.0,8.4,0,G
244,8.3,8.0,7.0,8.2,9.5,8.1,9.3,8.0,8.5,8.3,8.9,7,8.1,8.4,0,G
245,9.0,8.9,7.0,8.5,9.3,8.6,9.5,8.4,7.8,8.7,9.4,7,8.0,8.6,0,G
246,8.5,8.7,6.8,8.5,8.9,8.1,9.3,8.4,7.4,8.0,9.0,7,8.2,8.3,0,G
247,9.2,8.7,8.0,8.9,9.4,8.3,9.2,8.6,7.7,8.3,9.0,7,8.1,8.6,0,G
248,9.9,9.4,8.9,9.4,9.1,8.5,9.5,9.3,8.2,8.7,9.4,7,8.4,9.1,0,G
249,9.5,9.6,8.2,9.3,9.5,8.5,9.7,9.0,8.3,8.3,9.7,7,7.9,9.0,0,G
250,9.2,9.4,7.5,9.2,8.5,8.0,8.5,8.2,7.8,8.5,8.8,7,8.1,8.5,0,G
251,8.6,9.2,7.2,8.1,8.4,7.6,8.3,7.5,7.0,8.0,8.5,7,8.1,8.0,0,G
252,8.9,9.4,7.1,8.9,8.5,8.3,8.9,7.5,8.2,7.7,8.8,7,8.3,8.4,0,G
253,8.1,8.3,7.1,9.0,8.4,8.2,8.4,7.8,7.4,8.5,8.7,7,8.0,8.2,0,G
254,7.7,8.5,6.5,8.6,9.0,8.1,8.7,8.3,7.3,8.1,8.9,7,7.9,8.1,0,G
255,5.8,6.0,5.2,8.7,7.7,6.8,7.3,6.3,8.0,7.2,8.0,7,7.9,7.1,0,K
256,9.1,8.6,7.4,9.5,9.5,8.1,9.3,8.9,8.7,9.3,9.7,7,8.2,8.9,0,G
257,8.8,9.2,7.4,8.5,8.7,7.7,9.8,7.5,7.5,8.3,8.8,7,8.0,8.4,0,G
258,8.5,9.4,8.2,8.6,8.4,7.7,8.7,8.0,8.4,8.2,8.6,7,8.1,8.4,0,G
259,9.8,9.0,7.5,8.7,9.0,8.1,8.5,8.6,7.6,8.8,9.3,7,8.2,8.6,0,G
260,9.5,9.5,8.6,9.0,9.7,8.1,8.9,8.7,8.3,7.9,9.1,7,8.1,8.8,0,G
261,8.2,8.5,7.2,8.6,9.1,8.2,9.2,8.8,8.0,9.0,8.5,7,8.0,8.4,0,G
262,9.5,9.2,9.0,9.5,9.6,8.6,9.3,9.1,8.7,8.6,9.1,7,8.1,9.0,0,G
263,5.3,6.3,5.6,7.4,7.6,8.0,7.5,7.0,7.3,7.8,8.4,7,7.8,7.2,0,K
264,7.9,7.5,7.4,8.2,8.6,8.5,9.3,8.3,7.7,8.1,8.7,7,8.2,8.2,0,G
265,7.2,8.0,6.5,7.7,8.0,7.1,7.3,6.9,7.3,7.3,7.5,7,8.0,7.4,0,K
266,9.6,8.0,8.0,8.5,9.7,8.3,9.5,8.7,8.4,9.1,9.5,7,8.0,8.8,0,G
267,8.0,7.5,5.9,7.4,8.7,7.4,7.8,7.7,8.2,8.5,8.5,7,8.2,7.8,0,K
268,8.8,9.0,6.9,8.3,8.5,8.4,9.2,7.8,7.8,8.7,8.8,7,8.1,8.4,0,G
269,7.1,6.9,6.4,6.2,8.9,7.4,8.9,8.7,8.8,8,7.1,7,8.2,7.7,8,K
270,5.4,5,5.2,7,7.6,5.9,6.5,5.8,7.5,5,6.3,7,8.3,6.3,3,TB
271,4.2,6.1,5.8,7.3,8.2,5.4,6.3,7.4,8.1,6.5,8.1,7,8,6.8,0,TB
272,9.6,9.4,7.7,7.7,9.5,8.2,9,8.6,8.9,8.6,9.7,7,8.1,8.8,0,G
273,8.3,7.8,5.6,6.3,8.2,6.8,8.6,7.7,7.2,7.6,8.6,7,8.2,7.6,3,K
274,8.6,8.3,6.3,6.8,8.5,7.6,8.2,8.2,5.2,8.5,7.8,7,8.3,7.7,4,K
275,9.8,9.3,7.8,8.8,9.6,7.7,9.1,8.1,9.2,8.4,9.4,7,8,8.8,2,G
276,8.8,8.4,6.9,8.7,8.7,8,9,9.1,8.2,8.9,8.9,7,8,8.5,5,G
277,9.1,7.7,6.4,7.1,8.7,6.4,7.7,7,7.6,6.9,8,7,8,7.6,10,K
